LOCATION,YEAR,MONTH,Min_Temperature,Anomaly
ALABAMA,1996,01,31.7,-2.1
ALABAMA,1996,02,35.4,-1.8
ALABAMA,1996,03,39.0,-5.0
ALABAMA,1996,04,46.3,-4.3
ALABAMA,1996,05,60.5,1.2
ALABAMA,1996,06,66.0,-1.1
ALABAMA,1996,07,69.0,-0.8
ALABAMA,1996,08,67.7,-1.6
ALABAMA,1996,09,61.3,-2.7
ALABAMA,1996,10,50.9,-1.3
ALABAMA,1996,11,41.5,-0.2
ALABAMA,1996,12,37.7,0.9
ALABAMA,1997,01,35.8,2.0
ALABAMA,1997,02,40.8,3.6
ALABAMA,1997,03,48.4,4.4
ALABAMA,1997,04,46.1,-4.5
ALABAMA,1997,05,55.1,-4.2
ALABAMA,1997,06,65.0,-2.1
ALABAMA,1997,07,70.0,0.2
ALABAMA,1997,08,67.0,-2.3
ALABAMA,1997,09,62.4,-1.6
ALABAMA,1997,10,50.5,-1.7
ALABAMA,1997,11,39.2,-2.5
ALABAMA,1997,12,34.7,-2.1
ALABAMA,1998,01,37.8,4.0
ALABAMA,1998,02,38.7,1.5
ALABAMA,1998,03,42.1,-1.9
ALABAMA,1998,04,49.7,-0.9
ALABAMA,1998,05,60.8,1.5
ALABAMA,1998,06,69.0,1.9
ALABAMA,1998,07,71.7,1.9
ALABAMA,1998,08,68.7,-0.6
ALABAMA,1998,09,66.5,2.5
ALABAMA,1998,10,53.6,1.4
ALABAMA,1998,11,46.2,4.5
ALABAMA,1998,12,42.0,5.2
ALABAMA,1999,01,37.4,3.6
ALABAMA,1999,02,39.9,2.7
ALABAMA,1999,03,39.5,-4.5
ALABAMA,1999,04,54.9,4.3
ALABAMA,1999,05,56.6,-2.7
ALABAMA,1999,06,67.1,0.0
ALABAMA,1999,07,70.5,0.7
ALABAMA,1999,08,69.5,0.2
ALABAMA,1999,09,59.8,-4.2
ALABAMA,1999,10,50.5,-1.7
ALABAMA,1999,11,42.2,0.5
ALABAMA,1999,12,34.6,-2.2
ALABAMA,2000,01,35.9,2.1
ALABAMA,2000,02,38.4,1.2
ALABAMA,2000,03,45.6,1.6
ALABAMA,2000,04,46.8,-3.8
ALABAMA,2000,05,61.6,2.3
ALABAMA,2000,06,65.7,-1.4
ALABAMA,2000,07,68.9,-0.9
ALABAMA,2000,08,68.2,-1.1
ALABAMA,2000,09,62.6,-1.4
ALABAMA,2000,10,49.6,-2.6
ALABAMA,2000,11,42.0,0.3
ALABAMA,2000,12,28.6,-8.2
ALABAMA,2001,01,29.9,-3.9
ALABAMA,2001,02,41.0,3.8
ALABAMA,2001,03,41.1,-2.9
ALABAMA,2001,04,52.4,1.8
ALABAMA,2001,05,57.8,-1.5
ALABAMA,2001,06,65.6,-1.5
ALABAMA,2001,07,69.4,-0.4
ALABAMA,2001,08,68.8,-0.5
ALABAMA,2001,09,61.2,-2.8
ALABAMA,2001,10,46.8,-5.4
ALABAMA,2001,11,44.1,2.4
ALABAMA,2001,12,39.1,2.3
ALABAMA,2002,01,35.3,1.5
ALABAMA,2002,02,33.3,-3.9
ALABAMA,2002,03,41.6,-2.4
ALABAMA,2002,04,54.8,4.2
ALABAMA,2002,05,58.2,-1.1
ALABAMA,2002,06,65.9,-1.2
ALABAMA,2002,07,69.8,0.0
ALABAMA,2002,08,68.6,-0.7
ALABAMA,2002,09,67.7,3.7
ALABAMA,2002,10,59.7,7.5
ALABAMA,2002,11,39.9,-1.8
ALABAMA,2002,12,34.1,-2.7
ALABAMA,2003,01,28.4,-5.4
ALABAMA,2003,02,37.2,0.0
ALABAMA,2003,03,46.9,2.9
ALABAMA,2003,04,50.8,0.2
ALABAMA,2003,05,61.6,2.3
ALABAMA,2003,06,65.7,-1.4
ALABAMA,2003,07,69.2,-0.6
ALABAMA,2003,08,69.9,0.6
ALABAMA,2003,09,61.6,-2.4
ALABAMA,2003,10,51.1,-1.1
ALABAMA,2003,11,45.6,3.9
ALABAMA,2003,12,31.6,-5.2
ALABAMA,2004,01,32.6,-1.2
ALABAMA,2004,02,36.0,-1.2
ALABAMA,2004,03,45.4,1.4
ALABAMA,2004,04,47.1,-3.5
ALABAMA,2004,05,61.3,2.0
ALABAMA,2004,06,67.9,0.8
ALABAMA,2004,07,68.8,-1.0
ALABAMA,2004,08,65.6,-3.7
ALABAMA,2004,09,63.9,-0.1
ALABAMA,2004,10,58.5,6.3
ALABAMA,2004,11,48.0,6.3
ALABAMA,2004,12,33.4,-3.4
ALABAMA,2005,01,38.1,4.3
ALABAMA,2005,02,40.8,3.6
ALABAMA,2005,03,41.7,-2.3
ALABAMA,2005,04,47.8,-2.8
ALABAMA,2005,05,55.3,-4.0
ALABAMA,2005,06,66.9,-0.2
ALABAMA,2005,07,71.2,1.4
ALABAMA,2005,08,71.0,1.7
ALABAMA,2005,09,65.2,1.2
ALABAMA,2005,10,51.1,-1.1
ALABAMA,2005,11,42.7,1.0
ALABAMA,2005,12,31.3,-5.5
ALABAMA,2006,01,39.2,5.4
ALABAMA,2006,02,34.8,-2.4
ALABAMA,2006,03,43.0,-1.0
ALABAMA,2006,04,53.7,3.1
ALABAMA,2006,05,58.5,-0.8
ALABAMA,2006,06,64.7,-2.4
ALABAMA,2006,07,69.8,0.0
ALABAMA,2006,08,71.0,1.7
ALABAMA,2006,09,60.7,-3.3
ALABAMA,2006,10,48.8,-3.4
ALABAMA,2006,11,39.8,-1.9
ALABAMA,2006,12,36.9,0.1
ALABAMA,2007,01,36.4,2.6
ALABAMA,2007,02,32.1,-5.1
ALABAMA,2007,03,45.4,1.4
ALABAMA,2007,04,46.8,-3.8
ALABAMA,2007,05,57.0,-2.3
ALABAMA,2007,06,65.8,-1.3
ALABAMA,2007,07,69.2,-0.6
ALABAMA,2007,08,71.9,2.6
ALABAMA,2007,09,64.5,0.5
ALABAMA,2007,10,54.6,2.4
ALABAMA,2007,11,39.9,-1.8
ALABAMA,2007,12,40.6,3.8
ALABAMA,2008,01,32.1,-1.7
ALABAMA,2008,02,36.1,-1.1
ALABAMA,2008,03,41.2,-2.8
ALABAMA,2008,04,50.6,0.0
ALABAMA,2008,05,58.5,-0.8
ALABAMA,2008,06,66.8,-0.3
ALABAMA,2008,07,68.4,-1.4
ALABAMA,2008,08,68.4,-0.9
ALABAMA,2008,09,64.2,0.2
ALABAMA,2008,10,50.0,-2.2
ALABAMA,2008,11,37.5,-4.2
ALABAMA,2008,12,39.1,2.3
ALABAMA,2009,01,33.8,0.0
ALABAMA,2009,02,34.8,-2.4
ALABAMA,2009,03,45.6,1.6
ALABAMA,2009,04,48.6,-2.0
ALABAMA,2009,05,62.2,2.9
ALABAMA,2009,06,68.0,0.9
ALABAMA,2009,07,67.3,-2.5
ALABAMA,2009,08,68.1,-1.2
ALABAMA,2009,09,66.6,2.6
ALABAMA,2009,10,52.9,0.7
ALABAMA,2009,11,41.2,-0.5
ALABAMA,2009,12,35.5,-1.3
ALABAMA,2010,01,29.2,-4.6
ALABAMA,2010,02,30.3,-6.9
ALABAMA,2010,03,39.7,-4.3
ALABAMA,2010,04,49.7,-0.9
ALABAMA,2010,05,62.3,3.0
ALABAMA,2010,06,70.1,3.0
ALABAMA,2010,07,71.9,2.1
ALABAMA,2010,08,72.6,3.3
ALABAMA,2010,09,63.1,-0.9
ALABAMA,2010,10,48.4,-3.8
ALABAMA,2010,11,42.3,0.6
ALABAMA,2010,12,28.9,-7.9
ALABAMA,2011,01,30.2,-3.6
ALABAMA,2011,02,37.2,0.0
ALABAMA,2011,03,45.6,1.6
ALABAMA,2011,04,52.6,2.0
ALABAMA,2011,05,56.8,-2.5
ALABAMA,2011,06,68.5,1.4
ALABAMA,2011,07,71.4,1.6
ALABAMA,2011,08,69.4,0.1
ALABAMA,2011,09,60.9,-3.1
ALABAMA,2011,10,46.6,-5.6
ALABAMA,2011,11,43.1,1.4
ALABAMA,2011,12,38.4,1.6
ALABAMA,2012,01,38.0,4.2
ALABAMA,2012,02,41.8,4.6
ALABAMA,2012,03,52.8,8.8
ALABAMA,2012,04,52.4,1.8
ALABAMA,2012,05,61.4,2.1
ALABAMA,2012,06,65.3,-1.8
ALABAMA,2012,07,70.9,1.1
ALABAMA,2012,08,68.3,-1.0
ALABAMA,2012,09,61.9,-2.1
ALABAMA,2012,10,50.0,-2.2
ALABAMA,2012,11,37.0,-4.7
ALABAMA,2012,12,40.0,3.2
ALABAMA,2013,01,40.3,6.5
ALABAMA,2013,02,37.2,0.0
ALABAMA,2013,03,37.2,-6.8
ALABAMA,2013,04,50.0,-0.6
ALABAMA,2013,05,56.8,-2.5
ALABAMA,2013,06,68.2,1.1
ALABAMA,2013,07,69.2,-0.6
ALABAMA,2013,08,68.6,-0.7
ALABAMA,2013,09,63.8,-0.2
ALABAMA,2013,10,53.5,1.3
ALABAMA,2013,11,40.0,-1.7
ALABAMA,2013,12,37.6,0.8
ALABAMA,2014,01,24.7,-9.1
ALABAMA,2014,02,35.9,-1.3
ALABAMA,2014,03,39.6,-4.4
ALABAMA,2014,04,50.1,-0.5
ALABAMA,2014,05,58.2,-1.1
ALABAMA,2014,06,67.9,0.8
ALABAMA,2014,07,67.2,-2.6
ALABAMA,2014,08,67.9,-1.4
ALABAMA,2014,09,65.7,1.7
ALABAMA,2014,10,52.0,-0.2
ALABAMA,2014,11,35.3,-6.4
ALABAMA,2014,12,39.8,3.0
ALABAMA,2015,01,32.5,-1.3
ALABAMA,2015,02,30.0,-7.2
ALABAMA,2015,03,46.8,2.8
ALABAMA,2015,04,55.5,4.9
ALABAMA,2015,05,60.0,0.7
ALABAMA,2015,06,68.2,1.1
ALABAMA,2015,07,71.2,1.4
ALABAMA,2015,08,68.2,-1.1
ALABAMA,2015,09,63.6,-0.4
ALABAMA,2015,10,53.4,1.2
ALABAMA,2015,11,49.1,7.4
ALABAMA,2015,12,47.0,10.2
ALABAMA,2016,01,32.6,-1.2
ALABAMA,2016,02,38.2,1.0
ALABAMA,2016,03,47.9,3.9
ALABAMA,2016,04,51.3,0.7
ALABAMA,2016,05,58.5,-0.8
ALABAMA,2016,06,67.5,0.4
ALABAMA,2016,07,71.1,1.3
ALABAMA,2016,08,71.7,2.4
ALABAMA,2016,09,66.3,2.3
ALABAMA,2016,10,53.6,1.4
ALABAMA,2016,11,42.6,0.9
ALABAMA,2016,12,39.6,2.8
ALABAMA,2017,01,42.0,8.2
ALABAMA,2017,02,43.3,6.1
ALABAMA,2017,03,46.1,2.1
ALABAMA,2017,04,54.0,3.4
ALABAMA,2017,05,57.9,-1.4
ALABAMA,2017,06,66.8,-0.3
ALABAMA,2017,07,70.5,0.7
ALABAMA,2017,08,69.4,0.1
ALABAMA,2017,09,62.4,-1.6
ALABAMA,2017,10,54.4,2.2
ALABAMA,2017,11,43.1,1.4
ALABAMA,2017,12,37.0,0.2
ALABAMA,2018,01,29.0,-4.8
ALABAMA,2018,02,47.8,10.6
ALABAMA,2018,03,43.2,-0.8
ALABAMA,2018,04,46.2,-4.4
ALABAMA,2018,05,62.7,3.4
ALABAMA,2018,06,68.7,1.6
ALABAMA,2018,07,70.8,1.0
ALABAMA,2018,08,69.5,0.2
ALABAMA,2018,09,69.6,5.6
ALABAMA,2018,10,56.7,4.5
ALABAMA,2018,11,40.0,-1.7
ALABAMA,2018,12,39.9,3.1
ALABAMA,2019,01,36.4,2.6
ARIZONA,1996,01,29.8,-0.7
ARIZONA,1996,02,37.3,4.3
ARIZONA,1996,03,37.2,-1.0
ARIZONA,1996,04,43.6,0.1
ARIZONA,1996,05,52.9,1.7
ARIZONA,1996,06,61.3,0.4
ARIZONA,1996,07,68.4,1.0
ARIZONA,1996,08,66.2,0.6
ARIZONA,1996,09,57.0,-2.3
ARIZONA,1996,10,46.3,-1.9
ARIZONA,1996,11,37.4,0.0
ARIZONA,1996,12,31.0,0.9
ARIZONA,1997,01,31.2,0.7
ARIZONA,1997,02,31.3,-1.7
ARIZONA,1997,03,38.7,0.5
ARIZONA,1997,04,42.4,-1.1
ARIZONA,1997,05,54.6,3.4
ARIZONA,1997,06,57.7,-3.2
ARIZONA,1997,07,64.0,-3.4
ARIZONA,1997,08,65.8,0.2
ARIZONA,1997,09,62.1,2.8
ARIZONA,1997,10,45.3,-2.9
ARIZONA,1997,11,37.3,-0.1
ARIZONA,1997,12,28.1,-2.0
ARIZONA,1998,01,31.2,0.7
ARIZONA,1998,02,31.5,-1.5
ARIZONA,1998,03,35.7,-2.5
ARIZONA,1998,04,38.4,-5.1
ARIZONA,1998,05,47.3,-3.9
ARIZONA,1998,06,55.1,-5.8
ARIZONA,1998,07,66.8,-0.6
ARIZONA,1998,08,66.6,1.0
ARIZONA,1998,09,59.7,0.4
ARIZONA,1998,10,45.9,-2.3
ARIZONA,1998,11,36.3,-1.1
ARIZONA,1998,12,29.5,-0.6
ARIZONA,1999,01,30.9,0.4
ARIZONA,1999,02,32.8,-0.2
ARIZONA,1999,03,37.3,-0.9
ARIZONA,1999,04,39.1,-4.4
ARIZONA,1999,05,49.4,-1.8
ARIZONA,1999,06,58.5,-2.4
ARIZONA,1999,07,66.0,-1.4
ARIZONA,1999,08,64.5,-1.1
ARIZONA,1999,09,58.5,-0.8
ARIZONA,1999,10,47.2,-1.0
ARIZONA,1999,11,38.5,1.1
ARIZONA,1999,12,28.0,-2.1
ARIZONA,2000,01,31.8,1.3
ARIZONA,2000,02,34.6,1.6
ARIZONA,2000,03,37.0,-1.2
ARIZONA,2000,04,45.5,2.0
ARIZONA,2000,05,54.2,3.0
ARIZONA,2000,06,62.4,1.5
ARIZONA,2000,07,66.5,-0.9
ARIZONA,2000,08,66.1,0.5
ARIZONA,2000,09,59.6,0.3
ARIZONA,2000,10,47.9,-0.3
ARIZONA,2000,11,31.2,-6.2
ARIZONA,2000,12,30.6,0.5
ARIZONA,2001,01,28.7,-1.8
ARIZONA,2001,02,31.5,-1.5
ARIZONA,2001,03,37.9,-0.3
ARIZONA,2001,04,42.8,-0.7
ARIZONA,2001,05,54.0,2.8
ARIZONA,2001,06,60.7,-0.2
ARIZONA,2001,07,66.0,-1.4
ARIZONA,2001,08,65.1,-0.5
ARIZONA,2001,09,59.9,0.6
ARIZONA,2001,10,49.5,1.3
ARIZONA,2001,11,39.7,2.3
ARIZONA,2001,12,27.4,-2.7
ARIZONA,2002,01,28.9,-1.6
ARIZONA,2002,02,30.4,-2.6
ARIZONA,2002,03,33.8,-4.4
ARIZONA,2002,04,46.1,2.6
ARIZONA,2002,05,49.6,-1.6
ARIZONA,2002,06,61.2,0.3
ARIZONA,2002,07,68.0,0.6
ARIZONA,2002,08,64.8,-0.8
ARIZONA,2002,09,59.6,0.3
ARIZONA,2002,10,46.2,-2.0
ARIZONA,2002,11,37.5,0.1
ARIZONA,2002,12,29.3,-0.8
ARIZONA,2003,01,34.6,4.1
ARIZONA,2003,02,34.1,1.1
ARIZONA,2003,03,37.2,-1.0
ARIZONA,2003,04,40.6,-2.9
ARIZONA,2003,05,52.0,0.8
ARIZONA,2003,06,59.7,-1.2
ARIZONA,2003,07,68.5,1.1
ARIZONA,2003,08,66.8,1.2
ARIZONA,2003,09,59.9,0.6
ARIZONA,2003,10,52.3,4.1
ARIZONA,2003,11,36.3,-1.1
ARIZONA,2003,12,29.7,-0.4
ARIZONA,2004,01,30.8,0.3
ARIZONA,2004,02,29.8,-3.2
ARIZONA,2004,03,43.3,5.1
ARIZONA,2004,04,44.1,0.6
ARIZONA,2004,05,52.0,0.8
ARIZONA,2004,06,59.0,-1.9
ARIZONA,2004,07,65.0,-2.4
ARIZONA,2004,08,63.7,-1.9
ARIZONA,2004,09,57.2,-2.1
ARIZONA,2004,10,46.9,-1.3
ARIZONA,2004,11,36.1,-1.3
ARIZONA,2004,12,31.1,1.0
ARIZONA,2005,01,34.9,4.4
ARIZONA,2005,02,37.0,4.0
ARIZONA,2005,03,37.3,-0.9
ARIZONA,2005,04,41.8,-1.7
ARIZONA,2005,05,51.8,0.6
ARIZONA,2005,06,58.1,-2.8
ARIZONA,2005,07,66.9,-0.5
ARIZONA,2005,08,64.2,-1.4
ARIZONA,2005,09,58.5,-0.8
ARIZONA,2005,10,48.6,0.4
ARIZONA,2005,11,37.7,0.3
ARIZONA,2005,12,29.3,-0.8
ARIZONA,2006,01,29.3,-1.2
ARIZONA,2006,02,32.1,-0.9
ARIZONA,2006,03,35.5,-2.7
ARIZONA,2006,04,43.3,-0.2
ARIZONA,2006,05,53.0,1.8
ARIZONA,2006,06,63.1,2.2
ARIZONA,2006,07,68.8,1.4
ARIZONA,2006,08,65.0,-0.6
ARIZONA,2006,09,55.8,-3.5
ARIZONA,2006,10,46.4,-1.8
ARIZONA,2006,11,37.9,0.5
ARIZONA,2006,12,28.4,-1.7
ARIZONA,2007,01,26.4,-4.1
ARIZONA,2007,02,33.4,0.4
ARIZONA,2007,03,39.4,1.2
ARIZONA,2007,04,44.2,0.7
ARIZONA,2007,05,52.5,1.3
ARIZONA,2007,06,60.4,-0.5
ARIZONA,2007,07,68.0,0.6
ARIZONA,2007,08,67.5,1.9
ARIZONA,2007,09,59.8,0.5
ARIZONA,2007,10,47.2,-1.0
ARIZONA,2007,11,40.5,3.1
ARIZONA,2007,12,28.4,-1.7
ARIZONA,2008,01,28.1,-2.4
ARIZONA,2008,02,32.1,-0.9
ARIZONA,2008,03,36.5,-1.7
ARIZONA,2008,04,41.7,-1.8
ARIZONA,2008,05,47.8,-3.4
ARIZONA,2008,06,60.2,-0.7
ARIZONA,2008,07,67.1,-0.3
ARIZONA,2008,08,66.1,0.5
ARIZONA,2008,09,59.0,-0.3
ARIZONA,2008,10,46.9,-1.3
ARIZONA,2008,11,39.2,1.8
ARIZONA,2008,12,30.8,0.7
ARIZONA,2009,01,32.2,1.7
ARIZONA,2009,02,32.7,-0.3
ARIZONA,2009,03,37.5,-0.7
ARIZONA,2009,04,41.5,-2.0
ARIZONA,2009,05,55.4,4.2
ARIZONA,2009,06,58.5,-2.4
ARIZONA,2009,07,68.3,0.9
ARIZONA,2009,08,64.3,-1.3
ARIZONA,2009,09,59.5,0.2
ARIZONA,2009,10,44.8,-3.4
ARIZONA,2009,11,37.8,0.4
ARIZONA,2009,12,27.1,-3.0
ARIZONA,2010,01,30.5,0.0
ARIZONA,2010,02,33.1,0.1
ARIZONA,2010,03,35.6,-2.6
ARIZONA,2010,04,41.2,-2.3
ARIZONA,2010,05,46.9,-4.3
ARIZONA,2010,06,59.2,-1.7
ARIZONA,2010,07,68.4,1.0
ARIZONA,2010,08,65.8,0.2
ARIZONA,2010,09,59.7,0.4
ARIZONA,2010,10,49.3,1.1
ARIZONA,2010,11,34.2,-3.2
ARIZONA,2010,12,34.5,4.4
ARIZONA,2011,01,27.6,-2.9
ARIZONA,2011,02,27.8,-5.2
ARIZONA,2011,03,38.3,0.1
ARIZONA,2011,04,43.8,0.3
ARIZONA,2011,05,47.7,-3.5
ARIZONA,2011,06,58.4,-2.5
ARIZONA,2011,07,66.8,-0.6
ARIZONA,2011,08,68.1,2.5
ARIZONA,2011,09,60.2,0.9
ARIZONA,2011,10,47.6,-0.6
ARIZONA,2011,11,36.4,-1.0
ARIZONA,2011,12,28.2,-1.9
ARIZONA,2012,01,31.2,0.7
ARIZONA,2012,02,31.9,-1.1
ARIZONA,2012,03,36.1,-2.1
ARIZONA,2012,04,44.8,1.3
ARIZONA,2012,05,52.6,1.4
ARIZONA,2012,06,61.6,0.7
ARIZONA,2012,07,66.9,-0.5
ARIZONA,2012,08,67.2,1.6
ARIZONA,2012,09,59.8,0.5
ARIZONA,2012,10,48.1,-0.1
ARIZONA,2012,11,38.6,1.2
ARIZONA,2012,12,30.1,0.0
ARIZONA,2013,01,25.6,-4.9
ARIZONA,2013,02,28.8,-4.2
ARIZONA,2013,03,39.7,1.5
ARIZONA,2013,04,44.0,0.5
ARIZONA,2013,05,51.6,0.4
ARIZONA,2013,06,62.4,1.5
ARIZONA,2013,07,68.3,0.9
ARIZONA,2013,08,65.4,-0.2
ARIZONA,2013,09,59.1,-0.2
ARIZONA,2013,10,43.6,-4.6
ARIZONA,2013,11,38.5,1.1
ARIZONA,2013,12,28.9,-1.2
ARIZONA,2014,01,31.6,1.1
ARIZONA,2014,02,35.7,2.7
ARIZONA,2014,03,39.4,1.2
ARIZONA,2014,04,43.8,0.3
ARIZONA,2014,05,51.0,-0.2
ARIZONA,2014,06,61.0,0.1
ARIZONA,2014,07,67.6,0.2
ARIZONA,2014,08,63.6,-2.0
ARIZONA,2014,09,61.2,1.9
ARIZONA,2014,10,50.4,2.2
ARIZONA,2014,11,37.3,-0.1
ARIZONA,2014,12,33.5,3.4
ARIZONA,2015,01,33.2,2.7
ARIZONA,2015,02,37.8,4.8
ARIZONA,2015,03,42.0,3.8
ARIZONA,2015,04,43.1,-0.4
ARIZONA,2015,05,48.6,-2.6
ARIZONA,2015,06,62.7,1.8
ARIZONA,2015,07,65.4,-2.0
ARIZONA,2015,08,66.9,1.3
ARIZONA,2015,09,61.6,2.3
ARIZONA,2015,10,52.0,3.8
ARIZONA,2015,11,34.8,-2.6
ARIZONA,2015,12,28.1,-2.0
ARIZONA,2016,01,29.5,-1.0
ARIZONA,2016,02,34.5,1.5
ARIZONA,2016,03,39.5,1.3
ARIZONA,2016,04,43.8,0.3
ARIZONA,2016,05,49.6,-1.6
ARIZONA,2016,06,64.1,3.2
ARIZONA,2016,07,67.9,0.5
ARIZONA,2016,08,64.4,-1.2
ARIZONA,2016,09,57.8,-1.5
ARIZONA,2016,10,51.2,3.0
ARIZONA,2016,11,39.8,2.4
ARIZONA,2016,12,32.8,2.7
ARIZONA,2017,01,32.2,1.7
ARIZONA,2017,02,37.4,4.4
ARIZONA,2017,03,41.2,3.0
ARIZONA,2017,04,44.0,0.5
ARIZONA,2017,05,50.2,-1.0
ARIZONA,2017,06,62.6,1.7
ARIZONA,2017,07,68.0,0.6
ARIZONA,2017,08,65.2,-0.4
ARIZONA,2017,09,57.9,-1.4
ARIZONA,2017,10,48.8,0.6
ARIZONA,2017,11,42.9,5.5
ARIZONA,2017,12,32.1,2.0
ARIZONA,2018,01,33.2,2.7
ARIZONA,2018,02,33.1,0.1
ARIZONA,2018,03,38.2,0.0
ARIZONA,2018,04,46.9,3.4
ARIZONA,2018,05,51.9,0.7
ARIZONA,2018,06,61.7,0.8
ARIZONA,2018,07,68.3,0.9
ARIZONA,2018,08,66.6,1.0
ARIZONA,2018,09,61.2,1.9
ARIZONA,2018,10,48.6,0.4
ARIZONA,2018,11,35.1,-2.3
ARIZONA,2018,12,30.8,0.7
ARIZONA,2019,01,30.6,0.1
ARKANSAS,1996,01,27.1,-3.0
ARKANSAS,1996,02,31.9,-1.4
ARKANSAS,1996,03,34.3,-7.0
ARKANSAS,1996,04,45.5,-4.3
ARKANSAS,1996,05,62.3,3.6
ARKANSAS,1996,06,65.7,-1.3
ARKANSAS,1996,07,69.2,-0.7
ARKANSAS,1996,08,67.3,-1.9
ARKANSAS,1996,09,58.9,-2.8
ARKANSAS,1996,10,49.2,-0.9
ARKANSAS,1996,11,38.1,-2.5
ARKANSAS,1996,12,34.6,2.2
ARKANSAS,1997,01,28.8,-1.3
ARKANSAS,1997,02,37.1,3.8
ARKANSAS,1997,03,42.4,1.1
ARKANSAS,1997,04,44.5,-5.3
ARKANSAS,1997,05,53.7,-5.0
ARKANSAS,1997,06,64.1,-2.9
ARKANSAS,1997,07,70.1,0.2
ARKANSAS,1997,08,66.6,-2.6
ARKANSAS,1997,09,60.9,-0.8
ARKANSAS,1997,10,48.9,-1.2
ARKANSAS,1997,11,38.1,-2.5
ARKANSAS,1997,12,32.2,-0.2
ARKANSAS,1998,01,36.2,6.1
ARKANSAS,1998,02,36.8,3.5
ARKANSAS,1998,03,39.9,-1.4
ARKANSAS,1998,04,47.7,-2.1
ARKANSAS,1998,05,61.2,2.5
ARKANSAS,1998,06,69.2,2.2
ARKANSAS,1998,07,72.8,2.9
ARKANSAS,1998,08,69.6,0.4
ARKANSAS,1998,09,66.5,4.8
ARKANSAS,1998,10,52.4,2.3
ARKANSAS,1998,11,43.9,3.3
ARKANSAS,1998,12,34.6,2.2
ARKANSAS,1999,01,32.4,2.3
ARKANSAS,1999,02,38.1,4.8
ARKANSAS,1999,03,38.4,-2.9
ARKANSAS,1999,04,52.8,3.0
ARKANSAS,1999,05,56.5,-2.2
ARKANSAS,1999,06,66.8,-0.2
ARKANSAS,1999,07,71.2,1.3
ARKANSAS,1999,08,67.6,-1.6
ARKANSAS,1999,09,58.1,-3.6
ARKANSAS,1999,10,47.5,-2.6
ARKANSAS,1999,11,42.2,1.6
ARKANSAS,1999,12,32.8,0.4
ARKANSAS,2000,01,31.7,1.6
ARKANSAS,2000,02,37.0,3.7
ARKANSAS,2000,03,43.6,2.3
ARKANSAS,2000,04,47.4,-2.4
ARKANSAS,2000,05,60.8,2.1
ARKANSAS,2000,06,65.6,-1.4
ARKANSAS,2000,07,69.0,-0.9
ARKANSAS,2000,08,70.3,1.1
ARKANSAS,2000,09,60.2,-1.5
ARKANSAS,2000,10,51.1,1.0
ARKANSAS,2000,11,37.7,-2.9
ARKANSAS,2000,12,22.9,-9.5
ARKANSAS,2001,01,27.5,-2.6
ARKANSAS,2001,02,35.6,2.3
ARKANSAS,2001,03,37.8,-3.5
ARKANSAS,2001,04,54.2,4.4
ARKANSAS,2001,05,58.4,-0.3
ARKANSAS,2001,06,64.7,-2.3
ARKANSAS,2001,07,71.6,1.7
ARKANSAS,2001,08,69.8,0.6
ARKANSAS,2001,09,59.3,-2.4
ARKANSAS,2001,10,46.0,-4.1
ARKANSAS,2001,11,43.1,2.5
ARKANSAS,2001,12,35.3,2.9
ARKANSAS,2002,01,31.6,1.5
ARKANSAS,2002,02,31.0,-2.3
ARKANSAS,2002,03,36.7,-4.6
ARKANSAS,2002,04,52.4,2.6
ARKANSAS,2002,05,56.7,-2.0
ARKANSAS,2002,06,66.1,-0.9
ARKANSAS,2002,07,70.7,0.8
ARKANSAS,2002,08,69.2,0.0
ARKANSAS,2002,09,63.6,1.9
ARKANSAS,2002,10,51.6,1.5
ARKANSAS,2002,11,37.2,-3.4
ARKANSAS,2002,12,33.2,0.8
ARKANSAS,2003,01,26.2,-3.9
ARKANSAS,2003,02,31.4,-1.9
ARKANSAS,2003,03,39.5,-1.8
ARKANSAS,2003,04,49.1,-0.7
ARKANSAS,2003,05,59.5,0.8
ARKANSAS,2003,06,63.3,-3.7
ARKANSAS,2003,07,69.7,-0.2
ARKANSAS,2003,08,70.1,0.9
ARKANSAS,2003,09,59.1,-2.6
ARKANSAS,2003,10,50.4,0.3
ARKANSAS,2003,11,44.5,3.9
ARKANSAS,2003,12,31.9,-0.5
ARKANSAS,2004,01,31.0,0.9
ARKANSAS,2004,02,31.0,-2.3
ARKANSAS,2004,03,44.7,3.4
ARKANSAS,2004,04,49.4,-0.4
ARKANSAS,2004,05,61.0,2.3
ARKANSAS,2004,06,66.8,-0.2
ARKANSAS,2004,07,68.2,-1.7
ARKANSAS,2004,08,64.5,-4.7
ARKANSAS,2004,09,60.1,-1.6
ARKANSAS,2004,10,55.8,5.7
ARKANSAS,2004,11,45.9,5.3
ARKANSAS,2004,12,30.2,-2.2
ARKANSAS,2005,01,36.2,6.1
ARKANSAS,2005,02,38.3,5.0
ARKANSAS,2005,03,38.8,-2.5
ARKANSAS,2005,04,49.1,-0.7
ARKANSAS,2005,05,55.0,-3.7
ARKANSAS,2005,06,66.0,-1.0
ARKANSAS,2005,07,69.4,-0.5
ARKANSAS,2005,08,70.5,1.3
ARKANSAS,2005,09,64.7,3.0
ARKANSAS,2005,10,48.9,-1.2
ARKANSAS,2005,11,41.8,1.2
ARKANSAS,2005,12,28.7,-3.7
ARKANSAS,2006,01,35.8,5.7
